date,source,SSH (m)
10/1997,steric,0.415774
10/1997,total,0.679206
10/1997,barystatic,0.293187
10/1997,steric,0.386019
11/1997,total,0.581262
11/1997,barystatic,0.195090
11/1997,steric,0.386172
11/1997,total,0.679503
11/1997,barystatic,0.293519
11/1997,steric,0.385984
12/1997,total,0.473172
12/1997,barystatic,0.120896
12/1997,steric,0.352275
12/1997,total,0.679801
12/1997,barystatic,0.293852
12/1997,steric,0.385949
01/1998,total,0.443344
01/1998,barystatic,0.129763
01/1998,steric,0.313582
01/1998,total,0.680099
01/1998,barystatic,0.294184
01/1998,steric,0.385915
02/1998,total,0.453958
02/1998,barystatic,0.150596
02/1998,steric,0.303362
02/1998,total,0.680396
02/1998,barystatic,0.294516
02/1998,steric,0.385880
03/1998,total,0.460041
03/1998,barystatic,0.149637
03/1998,steric,0.310404
03/1998,total,0.680694
03/1998,barystatic,0.294849
03/1998,steric,0.385845
04/1998,total,0.539083
04/1998,barystatic,0.212982
04/1998,steric,0.326101
04/1998,total,0.680992
04/1998,barystatic,0.295181
04/1998,steric,0.385810
05/1998,total,0.657591
05/1998,barystatic,0.310561
05/1998,steric,0.347030
05/1998,total,0.681289
05/1998,barystatic,0.295514
05/1998,steric,0.385776
06/1998,total,0.867283
06/1998,barystatic,0.494968
06/1998,steric,0.372315
06/1998,total,0.681587
06/1998,barystatic,0.295846
06/1998,steric,0.385741
07/1998,total,0.835728
07/1998,barystatic,0.442087
07/1998,steric,0.393641
07/1998,total,0.681885
07/1998,barystatic,0.296178
07/1998,steric,0.385706
08/1998,total,0.822561
08/1998,barystatic,0.402415
08/1998,steric,0.420145
08/1998,total,0.682182
08/1998,barystatic,0.296511
08/1998,steric,0.385672
09/1998,total,0.793571
09/1998,barystatic,0.352425
09/1998,steric,0.441146
09/1998,total,0.682480
09/1998,barystatic,0.296843
09/1998,steric,0.385637
10/1998,total,0.811585
10/1998,barystatic,0.362246
10/1998,steric,0.449340
10/1998,total,0.682778
10/1998,barystatic,0.297176
10/1998,steric,0.385602
11/1998,total,0.836038
11/1998,barystatic,0.399914
11/1998,steric,0.436124
11/1998,total,0.683075
11/1998,barystatic,0.297508
11/1998,steric,0.385567
12/1998,total,0.759519
12/1998,barystatic,0.359144
12/1998,steric,0.400375
12/1998,total,0.683373
12/1998,barystatic,0.297840
12/1998,steric,0.385533
01/1999,total,0.640564
01/1999,barystatic,0.282199
01/1999,steric,0.358365
01/1999,total,0.683671
01/1999,barystatic,0.298173
01/1999,steric,0.385498
02/1999,total,0.592995
02/1999,barystatic,0.257413
02/1999,steric,0.335582
02/1999,total,0.683968
02/1999,barystatic,0.298505
02/1999,steric,0.385463
03/1999,total,0.568361
03/1999,barystatic,0.226233
03/1999,steric,0.342127
03/1999,total,0.684266
03/1999,barystatic,0.298838
03/1999,steric,0.385428
04/1999,total,0.675571
04/1999,barystatic,0.314680
04/1999,steric,0.360891
04/1999,total,0.684564
04/1999,barystatic,0.299170
04/1999,steric,0.385394
05/1999,total,0.777231
05/1999,barystatic,0.399061
05/1999,steric,0.378170
05/1999,total,0.684861
05/1999,barystatic,0.299503
05/1999,steric,0.385359
06/1999,total,0.783689
06/1999,barystatic,0.390603
06/1999,steric,0.393086
06/1999,total,0.685159
06/1999,barystatic,0.299835
06/1999,steric,0.385324
07/1999,total,0.760010
07/1999,barystatic,0.350023
07/1999,steric,0.409987
07/1999,total,0.685457
07/1999,barystatic,0.300167
07/1999,steric,0.385289
08/1999,total,0.809316
08/1999,barystatic,0.387521
08/1999,steric,0.421795
08/1999,total,0.685754
08/1999,barystatic,0.300500
08/1999,steric,0.385255
09/1999,total,0.749566
09/1999,barystatic,0.313410
09/1999,steric,0.436157
09/1999,total,0.686052
09/1999,barystatic,0.300832
09/1999,steric,0.385220
10/1999,total,0.760807
10/1999,barystatic,0.323071
10/1999,steric,0.437737
10/1999,total,0.686350
10/1999,barystatic,0.301165
10/1999,steric,0.385185
11/1999,total,0.779032
11/1999,barystatic,0.359130
11/1999,steric,0.419902
11/1999,total,0.686647
11/1999,barystatic,0.301497
11/1999,steric,0.385150
12/1999,total,0.705124
12/1999,barystatic,0.317824
12/1999,steric,0.387300
12/1999,total,0.686945
12/1999,barystatic,0.301829
12/1999,steric,0.385116
01/2000,total,0.592594
01/2000,barystatic,0.239982
01/2000,steric,0.352612
01/2000,total,0.687243
01/2000,barystatic,0.302162
01/2000,steric,0.385081
02/2000,total,0.514366
02/2000,barystatic,0.180579
02/2000,steric,0.333788
02/2000,total,0.687540
02/2000,barystatic,0.302494
02/2000,steric,0.385046
03/2000,total,0.571867
03/2000,barystatic,0.239153
03/2000,steric,0.332715
03/2000,total,0.687838
03/2000,barystatic,0.302827
03/2000,steric,0.385011
04/2000,total,0.663702
04/2000,barystatic,0.311660
04/2000,steric,0.352042
04/2000,total,0.688136
04/2000,barystatic,0.303159
04/2000,steric,0.384977
05/2000,total,0.757059
05/2000,barystatic,0.384023
05/2000,steric,0.373036
05/2000,total,0.688433
05/2000,barystatic,0.303491
05/2000,steric,0.384942
06/2000,total,0.796245
06/2000,barystatic,0.403859
06/2000,steric,0.392386
06/2000,total,0.688731
06/2000,barystatic,0.303824
06/2000,steric,0.384907
07/2000,total,0.834792
07/2000,barystatic,0.416875
07/2000,steric,0.417917
07/2000,total,0.689029
07/2000,barystatic,0.304156
07/2000,steric,0.384872
08/2000,total,0.830623
08/2000,barystatic,0.389243
08/2000,steric,0.441380
08/2000,total,0.689326
08/2000,barystatic,0.304489
08/2000,steric,0.384838
09/2000,total,0.786119
09/2000,barystatic,0.334237
09/2000,steric,0.451881
09/2000,total,0.689624
09/2000,barystatic,0.304821
09/2000,steric,0.384803
10/2000,total,0.754085
10/2000,barystatic,0.302208
10/2000,steric,0.451876
10/2000,total,0.689922
10/2000,barystatic,0.305153
10/2000,steric,0.384768
