Date,Total_Power_Outages,State
05/13/2022 19:00,2278,North Dakota
05/13/2022 19:00,22514,South Dakota
05/13/2022 20:00,663,Iowa
05/13/2022 20:00,19450,Minnesota
05/13/2022 20:00,49,Nebraska
05/13/2022 20:00,1913,North Dakota
05/13/2022 20:00,22360,South Dakota
05/13/2022 21:00,355,Iowa
05/13/2022 21:00,20587,Minnesota
05/13/2022 21:00,91,Nebraska
05/13/2022 21:00,422,North Dakota
05/13/2022 21:00,21234,South Dakota
05/13/2022 22:00,351,Iowa
05/13/2022 22:00,18800,Minnesota
05/13/2022 22:00,94,Nebraska
05/13/2022 22:00,853,North Dakota
05/13/2022 22:00,20632,South Dakota
05/13/2022 23:00,839,Iowa
05/13/2022 23:00,14764,Minnesota
05/13/2022 23:00,74,Nebraska
05/13/2022 23:00,316,North Dakota
05/13/2022 23:00,19097,South Dakota
05/14/2022 0:00,255,Iowa
05/14/2022 0:00,13660,Minnesota
05/14/2022 0:00,56,Nebraska
05/14/2022 0:00,25,North Dakota
05/14/2022 0:00,18950,South Dakota
05/14/2022 1:00,356,Iowa
05/14/2022 1:00,8648,Minnesota
05/14/2022 1:00,20,Nebraska
05/14/2022 1:00,26,North Dakota
05/14/2022 1:00,17577,South Dakota
05/14/2022 2:00,98,Iowa
05/14/2022 2:00,8153,Minnesota
05/14/2022 2:00,22,Nebraska
05/14/2022 2:00,25,North Dakota
05/14/2022 2:00,15043,South Dakota
05/14/2022 3:00,58,Iowa
05/14/2022 3:00,5932,Minnesota
05/14/2022 3:00,15,Nebraska
05/14/2022 3:00,27,North Dakota
05/14/2022 3:00,14611,South Dakota
05/14/2022 4:00,215,Iowa
05/14/2022 4:00,4792,Minnesota
05/14/2022 4:00,14,Nebraska
05/14/2022 4:00,25,North Dakota
05/14/2022 4:00,13247,South Dakota
05/14/2022 5:00,165,Iowa
05/14/2022 5:00,4499,Minnesota
05/14/2022 5:00,14,Nebraska
05/14/2022 5:00,117,North Dakota
05/14/2022 5:00,12970,South Dakota
05/14/2022 6:00,144,Iowa
05/14/2022 6:00,4395,Minnesota
05/14/2022 6:00,15,Nebraska
05/14/2022 6:00,120,North Dakota
05/14/2022 6:00,12902,South Dakota
05/14/2022 7:00,142,Iowa
05/14/2022 7:00,4236,Minnesota
05/14/2022 7:00,15,Nebraska
05/14/2022 7:00,120,North Dakota
05/14/2022 7:00,12905,South Dakota
05/14/2022 8:00,192,Iowa
05/14/2022 8:00,4134,Minnesota
05/14/2022 8:00,10,Nebraska
05/14/2022 8:00,121,North Dakota
05/14/2022 8:00,12905,South Dakota
05/14/2022 9:00,91,Iowa
05/14/2022 9:00,4101,Minnesota
05/14/2022 9:00,9,Nebraska
05/14/2022 9:00,121,North Dakota
05/14/2022 9:00,12904,South Dakota
05/14/2022 10:00,20,Iowa
05/14/2022 10:00,3070,Minnesota
05/14/2022 10:00,20,Nebraska
05/14/2022 10:00,23,North Dakota
05/14/2022 10:00,12903,South Dakota
05/14/2022 11:00,62,Iowa
05/14/2022 11:00,3226,Minnesota
05/14/2022 11:00,37,Nebraska
05/14/2022 11:00,23,North Dakota
05/14/2022 11:00,12900,South Dakota
05/14/2022 12:00,128,Iowa
05/14/2022 12:00,2722,Minnesota
05/14/2022 12:00,38,Nebraska
05/14/2022 12:00,23,North Dakota
05/14/2022 12:00,12915,South Dakota
05/14/2022 13:00,139,Iowa
05/14/2022 13:00,2661,Minnesota
05/14/2022 13:00,42,Nebraska
05/14/2022 13:00,24,North Dakota
05/14/2022 13:00,12909,South Dakota
05/14/2022 14:00,220,Iowa
05/14/2022 14:00,3049,Minnesota
05/14/2022 14:00,51,Nebraska
05/14/2022 14:00,26,North Dakota
05/14/2022 14:00,12913,South Dakota
05/14/2022 15:00,251,Iowa
05/14/2022 15:00,1239,Minnesota
05/14/2022 15:00,33,Nebraska
05/14/2022 15:00,1216,North Dakota
05/14/2022 15:00,12466,South Dakota
05/14/2022 16:00,274,Iowa
05/14/2022 16:00,1148,Minnesota
05/14/2022 16:00,25,Nebraska
05/14/2022 16:00,1212,North Dakota
05/14/2022 16:00,11987,South Dakota
05/14/2022 17:00,682,Iowa
05/14/2022 17:00,924,Minnesota
05/14/2022 17:00,18,Nebraska
05/14/2022 17:00,122,North Dakota
05/14/2022 17:00,11525,South Dakota
05/14/2022 18:00,932,Iowa
05/14/2022 18:00,943,Minnesota
05/14/2022 18:00,190,Nebraska
05/14/2022 18:00,62,North Dakota
05/14/2022 18:00,11663,South Dakota
05/14/2022 19:00,440,Iowa
05/14/2022 19:00,1718,Minnesota
05/14/2022 19:00,1,Nebraska
05/14/2022 19:00,49,North Dakota
05/14/2022 19:00,11524,South Dakota
05/14/2022 20:00,1348,Iowa
05/14/2022 20:00,1568,Minnesota
05/14/2022 20:00,3,Nebraska
05/14/2022 20:00,66,North Dakota
05/14/2022 20:00,10866,South Dakota
05/14/2022 21:00,1025,Iowa
05/14/2022 21:00,1216,Minnesota
05/14/2022 21:00,2,Nebraska
05/14/2022 21:00,37,North Dakota
05/14/2022 21:00,9964,South Dakota
05/14/2022 22:00,183,Iowa
05/14/2022 22:00,1805,Minnesota
05/14/2022 22:00,3,Nebraska
05/14/2022 22:00,30,North Dakota
05/14/2022 22:00,8043,South Dakota
05/14/2022 23:00,1610,Iowa
05/14/2022 23:00,1181,Minnesota
05/14/2022 23:00,6,Nebraska
05/14/2022 23:00,30,North Dakota
05/14/2022 23:00,7413,South Dakota
05/15/2022 0:00,1485,Iowa
05/15/2022 0:00,890,Minnesota
05/15/2022 0:00,7,Nebraska
05/15/2022 0:00,19,North Dakota
05/15/2022 0:00,7161,South Dakota
05/15/2022 1:00,117,Iowa
05/15/2022 1:00,699,Minnesota
05/15/2022 1:00,7,Nebraska
05/15/2022 1:00,16,North Dakota
05/15/2022 1:00,6214,South Dakota
05/15/2022 2:00,178,Iowa
05/15/2022 2:00,594,Minnesota
05/15/2022 2:00,9,Nebraska
05/15/2022 2:00,15,North Dakota
05/15/2022 2:00,4170,South Dakota
05/15/2022 3:00,120,Iowa
05/15/2022 3:00,409,Minnesota
05/15/2022 3:00,28,Nebraska
05/15/2022 3:00,17,North Dakota
05/15/2022 3:00,3870,South Dakota
05/15/2022 4:00,41,Iowa
05/15/2022 4:00,171,Minnesota
05/15/2022 4:00,25,Nebraska
05/15/2022 4:00,16,North Dakota
05/15/2022 4:00,3796,South Dakota
05/15/2022 5:00,38,Iowa
05/15/2022 5:00,163,Minnesota
05/15/2022 5:00,51,Nebraska
05/15/2022 5:00,16,North Dakota
05/15/2022 5:00,3862,South Dakota
05/15/2022 6:00,123,Iowa
05/15/2022 6:00,173,Minnesota
05/15/2022 6:00,53,Nebraska
05/15/2022 6:00,16,North Dakota
05/15/2022 6:00,3868,South Dakota
05/15/2022 7:00,708,Iowa
05/15/2022 7:00,169,Minnesota
05/15/2022 7:00,53,Nebraska
05/15/2022 7:00,16,North Dakota
05/15/2022 7:00,3852,South Dakota
05/15/2022 8:00,1014,Iowa
05/15/2022 8:00,168,Minnesota
05/15/2022 8:00,46,Nebraska
05/15/2022 8:00,43,North Dakota
05/15/2022 8:00,3852,South Dakota
05/15/2022 9:00,601,Iowa
05/15/2022 9:00,167,Minnesota
05/15/2022 9:00,47,Nebraska
05/15/2022 9:00,33,North Dakota
05/15/2022 9:00,3852,South Dakota
05/15/2022 10:00,75,Iowa
05/15/2022 10:00,177,Minnesota
05/15/2022 10:00,19,Nebraska
05/15/2022 10:00,17,North Dakota
05/15/2022 10:00,3852,South Dakota
05/15/2022 11:00,90,Iowa
05/15/2022 11:00,183,Minnesota
05/15/2022 11:00,8,Nebraska
05/15/2022 11:00,17,North Dakota
05/15/2022 11:00,3380,South Dakota
05/15/2022 12:00,200,Iowa
05/15/2022 12:00,696,Minnesota
05/15/2022 12:00,13,Nebraska
05/15/2022 12:00,17,North Dakota
05/15/2022 12:00,3383,South Dakota
05/15/2022 13:00,157,Iowa
05/15/2022 13:00,940,Minnesota
05/15/2022 13:00,14,Nebraska
05/15/2022 13:00,17,North Dakota
05/15/2022 13:00,3456,South Dakota
05/15/2022 14:00,62,Iowa
05/15/2022 14:00,1081,Minnesota
05/15/2022 14:00,16,Nebraska
05/15/2022 14:00,16,North Dakota
05/15/2022 14:00,3511,South Dakota
05/15/2022 15:00,56,Iowa
05/15/2022 15:00,1082,Minnesota
05/15/2022 15:00,38,Nebraska
05/15/2022 15:00,25,North Dakota
05/15/2022 15:00,3273,South Dakota
05/15/2022 16:00,42,Iowa
