Date,Value,Type
2007-05-01,3.1790086066541954,Trend
2007-06-01,3.1782699765065967,Trend
2007-07-01,3.1775551731379528,Trend
2007-08-01,3.176816542990354,Trend
2007-09-01,3.1760779128427554,Trend
2007-10-01,3.1753631094741115,Trend
2007-11-01,3.174624479326513,Trend
2007-12-01,3.173909675957869,Trend
2008-01-01,3.17317104581027,Trend
2008-02-01,3.1724324156626715,Trend
2008-03-01,3.171741439072983,Trend
2008-04-01,3.171002808925384,Trend
2008-05-01,3.17028800555674,Trend
2008-06-01,3.1695493754091415,Trend
2008-07-01,3.1688345720404976,Trend
2008-08-01,3.168095941892899,Trend
2008-09-01,3.1673573117453,Trend
2008-10-01,3.1666425083766563,Trend
2008-11-01,3.1659038782290576,Trend
2008-12-01,3.1651890748604137,Trend
2009-01-01,3.164450444712815,Trend
2009-02-01,3.1637118145652163,Trend
2009-03-01,3.163044664754482,Trend
2009-04-01,3.1623060346068836,Trend
2009-05-01,3.1615912312382397,Trend
2009-06-01,3.160852601090641,Trend
2009-07-01,3.160137797721997,Trend
2009-08-01,3.1593991675743984,Trend
2009-09-01,3.1586605374267998,Trend
2009-10-01,3.157945734058156,Trend
2009-11-01,3.157207103910557,Trend
2009-12-01,3.156492300541913,Trend
2010-01-01,3.1557536703943145,Trend
2010-02-01,3.155015040246716,Trend
2010-03-01,3.1543478904359814,Trend
2010-04-01,3.1536092602883827,Trend
2010-05-01,3.1528944569197392,Trend
2010-06-01,3.1521558267721406,Trend
2010-07-01,3.1514410234034966,Trend
2010-08-01,3.150702393255898,Trend
2010-09-01,3.1499637631082993,Trend
2010-10-01,3.1492489597396554,Trend
2010-11-01,3.1485103295920567,Trend
2010-12-01,3.1477955262234127,Trend
2011-01-01,3.147056896075814,Trend
2011-02-01,3.1463182659282154,Trend
2011-03-01,3.145651116117481,Trend
2011-04-01,3.1449124859698823,Trend
2011-05-01,3.1441976826012383,Trend
2011-06-01,3.1434590524536397,Trend
2011-07-01,3.1427442490849957,Trend
2011-08-01,3.142005618937397,Trend
2011-09-01,3.1412669887897984,Trend
2011-10-01,3.140552185421155,Trend
2011-11-01,3.139813555273556,Trend
2011-12-01,3.1390987519049123,Trend
2012-01-01,3.1383601217573136,Trend
