datetime,stage,source
09/14,21.48,Mississippi River at Vicksburg
09/15,20.76,Mississippi River at Vicksburg
09/16,20.23,Mississippi River at Vicksburg
09/17,19.75,Mississippi River at Vicksburg
09/18,19.41,Mississippi River at Vicksburg
09/19,19.15,Mississippi River at Vicksburg
09/20,18.94,Mississippi River at Vicksburg
09/21,18.95,Mississippi River at Vicksburg
09/22,18.89,Mississippi River at Vicksburg
09/23,19.18,Mississippi River at Vicksburg
09/24,19.66,Mississippi River at Vicksburg
09/25,19.81,Mississippi River at Vicksburg
09/26,20.21,Mississippi River at Vicksburg
09/27,20.51,Mississippi River at Vicksburg
09/28,21.02,Mississippi River at Vicksburg
09/29,21.29,Mississippi River at Vicksburg
09/30,21.51,Mississippi River at Vicksburg
10/01,22,Mississippi River at Vicksburg
10/02,22.44,Mississippi River at Vicksburg
10/03,22.81,Mississippi River at Vicksburg
10/04,23.08,Mississippi River at Vicksburg
10/05,23.19,Mississippi River at Vicksburg
10/06,23.17,Mississippi River at Vicksburg
10/07,23.68,Mississippi River at Vicksburg
10/08,24.39,Mississippi River at Vicksburg
10/09,25.34,Mississippi River at Vicksburg
10/10,26.06,Mississippi River at Vicksburg
10/11,26.64,Mississippi River at Vicksburg
10/12,26.96,Mississippi River at Vicksburg
10/13,27.43,Mississippi River at Vicksburg
10/14,28.08,Mississippi River at Vicksburg
10/15,28.95,Mississippi River at Vicksburg
10/16,29.46,Mississippi River at Vicksburg
10/17,29.38,Mississippi River at Vicksburg
10/18,29.17,Mississippi River at Vicksburg
10/19,29.19,Mississippi River at Vicksburg
10/20,29.07,Mississippi River at Vicksburg
10/21,28.87,Mississippi River at Vicksburg
10/22,28.92,Mississippi River at Vicksburg
10/23,28.88,Mississippi River at Vicksburg
10/24,28.76,Mississippi River at Vicksburg
10/25,28.55,Mississippi River at Vicksburg
10/26,28.95,Mississippi River at Vicksburg
10/27,29.36,Mississippi River at Vicksburg
10/28,30.02,Mississippi River at Vicksburg
10/29,30.84,Mississippi River at Vicksburg
10/30,31.85,Mississippi River at Vicksburg
10/31,32.86,Mississippi River at Vicksburg
11/01,33.17,Mississippi River at Vicksburg
11/02,33.44,Mississippi River at Vicksburg
11/03,33.52,Mississippi River at Vicksburg
11/04,33.64,Mississippi River at Vicksburg
11/05,33.71,Mississippi River at Vicksburg
11/06,33.68,Mississippi River at Vicksburg
11/07,33.66,Mississippi River at Vicksburg
11/08,33.66,Mississippi River at Vicksburg
11/09,33.9,Mississippi River at Vicksburg
11/10,34.11,Mississippi River at Vicksburg
11/11,34.53,Mississippi River at Vicksburg
11/12,34.77,Mississippi River at Vicksburg
11/13,34.7,Mississippi River at Vicksburg
11/14,34.5,Mississippi River at Vicksburg
11/15,33.83,Mississippi River at Vicksburg
11/16,33.14,Mississippi River at Vicksburg
11/17,32.22,Mississippi River at Vicksburg
11/18,31.11,Mississippi River at Vicksburg
11/19,29.93,Mississippi River at Vicksburg
11/20,29.1,Mississippi River at Vicksburg
11/23,27.06,Mississippi River at Vicksburg
11/24,26.46,Mississippi River at Vicksburg
11/25,26.04,Mississippi River at Vicksburg
11/26,26.08,Mississippi River at Vicksburg
11/27,26.45,Mississippi River at Vicksburg
11/28,26.41,Mississippi River at Vicksburg
11/29,26.6,Mississippi River at Vicksburg
11/30,26.81,Mississippi River at Vicksburg
12/01,27.55,Mississippi River at Vicksburg
12/02,28.38,Mississippi River at Vicksburg
12/03,29.35,Mississippi River at Vicksburg
12/04,30.41,Mississippi River at Vicksburg
12/05,31.53,Mississippi River at Vicksburg
12/06,32.57,Mississippi River at Vicksburg
12/07,33.72,Mississippi River at Vicksburg
12/08,34.79,Mississippi River at Vicksburg
12/09,35.7,Mississippi River at Vicksburg
12/10,36.45,Mississippi River at Vicksburg
12/11,36.97,Mississippi River at Vicksburg
12/12,37.24,Mississippi River at Vicksburg
12/13,37.2,Mississippi River at Vicksburg
12/14,36.74,Mississippi River at Vicksburg
12/15,36.13,Mississippi River at Vicksburg
12/16,35.31,Mississippi River at Vicksburg
12/17,34.56,Mississippi River at Vicksburg
12/18,33.98,Mississippi River at Vicksburg
12/19,33.61,Mississippi River at Vicksburg
12/20,33.22,Mississippi River at Vicksburg
12/27,33.94,Mississippi River at Vicksburg
12/28,34.03,Mississippi River at Vicksburg
12/29,34.3,Mississippi River at Vicksburg
12/30,34.49,Mississippi River at Vicksburg
12/31,34.59,Mississippi River at Vicksburg
